x,y,p,ax,ay,vx,vy,altidude,azimuth,v,a,att,dvp,alfa,sina,cosa,deva,devsina,devcosa,beta
-1.8046482090694582,0.41101583356968646,0.24994013238324175,0.493894231502066,-0.07399219743058368,0.3471477173982064,-0.299057068739744,-0.8847947055838841,-0.7853596187081774,1.5938983826164375,-0.5771858508415887,-0.12015020100833734,1.0105266426982793,-0.3847012968919958,-0.38470144180387966,0.2507819751808299,-0.03780224216097648,-0.03780224216097648,-0.03780224216097648,-0.006959131414424059
-1.7770544701249769,0.351429306664542,1.3817764883553163,0.26594748091130765,-0.4832319523570024,0.5317340983560531,-0.6575454932739059,-0.8847947055838841,-0.7853596187081774,1.5427253799247505,-0.452321353931198,-0.2591381114633425,1.0003886330436729,-0.48770110706789627,-0.48770140152391456,0.24662709147019332,-0.1205288514727756,-0.1205288514727756,-0.1205288514727756,-0.025036845066667215
-1.7358745009368386,0.20712157241426488,2.26305751248306,0.23201221956043003,-0.6615940682133307,0.6555098305110696,-1.0339929689494225,-0.8847947055838841,-0.7853596187081774,1.465370021819648,-0.27497917090340196,-0.49988977553840275,1.0188582748742028,-0.601287775428608,-0.6012882336283643,0.24200960331436788,-0.16305909827468698,-0.16305909827468698,-0.16305909827468698,-0.05397980700542181
-1.6910083452484836,-0.034041352841828874,2.594981441363768,0.09796637531104685,-0.838492576182579,0.7162550695878332,-1.5428381822017418,-0.8847947055838841,-0.7853596187081774,1.3840498596955364,-0.10274928678353885,-0.4947521610121559,0.46379663456222026,-0.7613077931480432,-0.7613084776303416,0.2387483583130058,-0.2079027080512515,-0.2079027080512515,-0.2079027080512515,-0.09059717293283219
-1.6230771940301996,-0.40022764545889844,2.6719671517629746,0.8671711970427847,-0.7808422005863769,1.1830846234919323,-2.0162032592826233,-0.8847947055838841,-0.7853596187081774,1.2766291857889285,0.13687631313838075,-0.6489003015855331,0.22968391728673418,-0.9243013800355644,-0.9243022864906066,0.20506088742376705,-0.21129277660136253,-0.21129277660136253,-0.21129277660136253,-0.14232510383136546
-1.532923604196322,-0.8680360512341961,2.5221698768347216,0.2684855237315388,-0.8621332954423311,1.324982950754225,-2.5088099144417946,-0.8847947055838841,-0.7853596187081774,1.1642653311044417,-0.04782734823417259,-0.7195703555318009,0.012828940852450932,-1.1076542818344657,-1.1076554232061488,0.18636227837504576,-0.2475684266927545,-0.2475684266927545,-0.2475684266927545,-0.19420932255045004
-1.4494051500628344,-1.385463783050505,1.9668250413049733,-0.5903013072272879,0.1265638674498962,1.0223728098528162,-2.4237243218823292,-0.8847947055838841,-0.7853596187081774,1.1117871421094634,-0.5032736954036114,-0.32441310538855134,-0.350992543094434,-1.0935727881689998,-1.0935739121650865,0.21407501634393086,-0.009415292790417256,-0.009415292790417256,-0.009415292790417256,-0.22336503968101107
-1.3774718535014576,-1.8701730946388981,1.5768592626279045,-0.1089065351102188,0.5001166155348507,0.9739041676441939,-2.1087407931480584,-0.8847947055838841,-0.7853596187081774,1.1162693016651026,-0.45889605837112235,0.011991478883909558,-0.19912304070733974,-0.987639462171785,-0.9876404517881802,0.21823142298583723,0.09530196463875339,0.09530196463875339,0.09530196463875339,-0.21100800805895822
-1.3181769106551104,-2.250010118874237,1.1041485903499229,-0.4615153708502036,0.7926719405030729,0.7530848602218381,-1.6428276569135674,-0.8847947055838841,-0.7853596187081774,1.144331353668391,-0.04939931286137512,0.16161129015009912,-0.3022396145501838,-0.8280158351945017,-0.8280166117662331,0.23413291572479436,0.1678863669042366,0.1678863669042366,0.1678863669042366,-0.16621460072328872
-1.2860544282960769,-2.468638503046204,1.14818144425117,-0.8454948979729793,1.3825830234539436,0.31575102607448013,-0.7847422316887516,-0.8847947055838841,-0.7853596187081774,1.1747852930354807,0.7016054360828944,0.1653793357458238,0.1994229276921661,-0.5437684229058318,-0.5437687984126406,0.2508211981573208,0.2985919982005054,0.2985919982005054,0.2985919982005054,-0.09555783494472235
